N,P,K,temperature,humidity,ph,rainfall,label
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,chickpea
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,chickpea
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,chickpea
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,chickpea
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,chickpea
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,chickpea
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,chickpea
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,chickpea
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,chickpea
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,chickpea
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,chickpea
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,chickpea
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,chickpea
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,chickpea
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,chickpea
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,chickpea
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,chickpea
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,chickpea
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,chickpea
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,chickpea
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,chickpea
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,chickpea
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,chickpea
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,chickpea
54,61,77,18.81198127,15.21618225,6.206582193,77.5429424,chickpea
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,chickpea
13,60,25,17.13692774,20.59541693,5.68597166,128.256862,kidneybeans
25,70,16,19.63474332,18.90705639,5.759237003,106.3598183,kidneybeans
31,55,22,22.91350245,21.33953114,5.873171894,109.225556,kidneybeans
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,kidneybeans
2,61,20,22.13974653,23.02251117,5.95561668,76.64128258,kidneybeans
26,65,22,17.84806561,18.77621951,5.949949081,143.0984171,kidneybeans
17,57,21,19.88394011,20.31564139,5.789214289,60.91974792,kidneybeans
26,80,18,19.32509638,23.3334788,5.581021521,104.7783947,kidneybeans
17,59,17,18.4167001,23.42829938,5.689858133,132.9801054,kidneybeans
27,59,22,21.81167649,23.20591245,5.794158504,130.0608093,kidneybeans
28,58,24,19.72702528,18.28173015,5.748190463,143.7630894,kidneybeans
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans
28,80,17,19.62207826,18.67170854,5.809419584,144.1567454,kidneybeans
25,60,22,21.63149148,21.17919701,5.887263027,134.3649948,kidneybeans
12,78,23,16.06522754,18.72479695,5.99812453,88.06638775,kidneybeans
6,77,25,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans
22,79,17,21.42451099,20.39659714,5.912289889,116.5206923,kidneybeans
27,80,15,19.07096165,21.21092266,5.788386951,86.21917578,kidneybeans
10,55,23,21.18853178,19.63438599,5.728233081,137.1948633,kidneybeans
23,65,20,23.0429097,22.42610972,5.833940084,108.3684316,kidneybeans
19,78,16,20.65375833,23.10538637,5.967533236,67.71768947,kidneybeans
19,65,25,18.09551014,18.29318436,5.625096446,144.7902323,kidneybeans
22,70,19,18.23775702,21.07643273,5.515615023,69.44951585,kidneybeans
37,64,22,17.48189735,18.8251973,5.954665349,121.9401369,kidneybeans
11,71,17,19.9191786,21.47324158,5.74644777,82.68554379,kidneybeans
18,79,20,20.27514686,23.2353604,5.877347515,139.7521543,kidneybeans
21,63,17,15.77370214,19.2303162,5.979973965,108.3441414,kidneybeans
3,72,24,36.51268371,57.92887167,6.03160778,122.6539694,pigeonpeas
40,59,23,36.89163721,62.73178224,5.269084669,163.7266551,pigeonpeas
33,73,23,29.23540524,59.38967583,5.985792703,103.3301803,pigeonpeas
27,57,24,27.33534897,43.35795962,6.09186275,142.3303677,pigeonpeas
10,79,18,21.0643684,55.46985938,5.624731338,184.6226709,pigeonpeas
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
40,70,20,31.80130272,45.03186173,5.623490043,147.0361442,pigeonpeas
38,55,19,33.18184225,38.23184742,5.864623352,198.8298806,pigeonpeas
35,58,20,29.38538562,63.47742011,5.761702519,90.05422663,pigeonpeas
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,pigeonpeas
33,58,24,35.45790488,68.75810535,5.269504214,108.6333046,pigeonpeas
16,56,17,33.80020039,40.03262418,7.445444883,176.6165894,pigeonpeas
31,72,17,28.69180475,49.47225353,5.833031708,96.36222901,pigeonpeas
16,80,20,31.24021696,56.67369054,7.339320929,122.0146733,pigeonpeas
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas
3,68,16,18.31910448,34.69776639,4.964887857,107.4721605,pigeonpeas
26,67,24,36.97794384,37.73992903,5.642813116,161.4812963,pigeonpeas
16,70,20,24.80467592,40.1242747,5.6093956,121.5639121,pigeonpeas
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,pigeonpeas
9,76,25,28.88302142,50.12323801,5.70951224,179.2155874,pigeonpeas
16,55,19,19.54314136,47.19188279,6.413543781,192.4372194,pigeonpeas
28,75,21,24.7741949,50.54621094,6.007508163,114.2821387,pigeonpeas
16,71,24,18.33124824,38.40975482,4.946369874,139.6483317,pigeonpeas
24,70,21,19.14729038,45.3733757,5.517208078,132.7748215,pigeonpeas
38,72,21,28.23416057,49.4421345,5.902103172,186.5008581,pigeonpeas
9,66,21,30.11812084,34.13307843,5.719889876,157.0858232,pigeonpeas
32,76,15,28.05153602,63.49802189,7.604110177,43.35795377,lentil
13,61,22,19.44084326,63.27771461,7.728832424,46.83130119,lentil
38,60,20,29.84823072,60.63872613,7.491217102,46.80452595,lentil
11,74,17,21.36383757,69.92375891,6.633864582,46.6352865,lentil
37,71,16,26.28663931,68.51966729,7.324863481,46.13833007,lentil
29,71,18,22.17499963,62.13873825,6.410441476,53.46622584,lentil
2,72,18,26.57597546,60.97876599,7.836719564,50.89110726,lentil
6,59,21,26.58972517,66.14007674,6.139215944,50.90994463,lentil
13,64,20,19.1345771,62.57526895,6.590571088,36.46946971,lentil
8,58,17,28.75273118,69.15640149,7.286049978,35.15426171,lentil
6,77,20,25.78746268,60.2816298,6.058306161,49.14337177,lentil
2,75,22,23.89271875,61.78779413,6.658605362,52.55730112,lentil
3,69,23,28.67408774,63.18832976,7.299360767,42.96018627,lentil
27,80,24,28.42062847,61.77336343,7.815210661,49.02366803,lentil
39,78,15,21.35499456,62.60136323,5.925391795,41.78219834,lentil
40,79,17,21.12695586,63.18738532,6.403683619,38.71834464,lentil
37,62,22,24.02037872,61.62313345,7.397546271,49.78102578,lentil
31,60,24,25.40474421,65.8567539,7.722335992,51.92057267,lentil
22,67,22,29.03017561,64.49166566,7.475926645,54.9393771,lentil
3,78,18,20.21368219,68.65257685,6.887130053,50.89732989,lentil
4,80,16,29.19585548,68.01965728,7.441976825,44.93261911,lentil
13,61,24,18.29783597,69.6897615,7.629910253,49.39111479,lentil
12,66,20,27.41434987,63.41785982,7.336117221,44.43177543,lentil
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,lentil
9,60,21,29.94413861,67.31323084,7.52178027,40.37113729,lentil
18,66,22,25.87990287,67.55109024,6.347379185,47.89645224,lentil
32,56,18,20.0467711,65.84395319,7.135251532,46.05333124,lentil
6,72,15,22.99451999,66.70897237,7.670178119,54.49044154,lentil
15,77,20,25.13163619,66.92642362,7.399749291,49.04015558,lentil
0,65,24,28.49584395,62.44616219,7.841496029,53.14531023,lentil
30,79,22,18.28766124,69.48515056,6.254216611,48.60449438,lentil
3,63,16,24.38041875,61.18458224,6.868881708,53.13946695,lentil
2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
6,18,37,19.65690085,89.93701023,5.937649578,108.0458926,pomegranate
8,26,36,18.78359608,87.4024767,6.804781106,102.5184759,pomegranate
37,18,39,24.1469628,94.5110662,6.424670614,110.2316633,pomegranate
0,27,38,22.44581266,89.90147027,6.738016221,109.3905998,pomegranate
31,25,38,24.96273236,92.40501423,6.497366677,109.4169192,pomegranate
21,21,38,22.5526059,89.3259486,6.327673765,104.8955643,pomegranate
6,30,40,22.77035608,91.45498527,6.36137446,106.9659201,pomegranate
25,27,41,19.20090378,94.27659596,6.923509371,108.0423555,pomegranate
15,11,38,23.12808226,92.68328358,6.630646083,109.3930157,pomegranate
14,5,36,24.92639065,85.19098079,5.832525853,104.7693804,pomegranate
16,10,41,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
36,7,37,19.8671184,86.35590206,5.782435567,108.3168858,pomegranate
4,20,41,24.26601316,93.7974061,6.537042717,104.5375109,pomegranate
29,22,40,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate
16,15,42,19.67832052,89.08935702,6.890784045,108.5468633,pomegranate
18,27,41,22.36509395,92.30882391,7.175344328,104.8216333,pomegranate
11,18,42,21.57936934,94.88267728,5.938528744,102.8593382,pomegranate
5,15,38,18.26233221,88.16779129,5.709380472,108.0756727,pomegranate
18,23,44,23.71028128,89.61794165,6.184400085,105.6499907,pomegranate
9,8,40,22.48720144,89.9224883,6.553509673,111.6631582,pomegranate
40,27,45,21.6602498,94.79397419,5.885638185,112.4349689,pomegranate
22,23,44,20.13037175,89.31505137,6.143874691,107.3416913,pomegranate
9,16,39,18.41164435,91.11927248,6.101198974,105.1834976,pomegranate
12,29,40,19.68291173,89.75272999,6.594037135,111.2818551,pomegranate
0,17,42,23.20242586,91.19442671,6.859840821,109.0946323,pomegranate
2,21,44,18.92157197,87.31290342,6.56893406,102.8013275,pomegranate
28,6,40,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
8,23,44,18.47412402,89.68919664,7.130837931,108.4758509,pomegranate
29,16,36,19.81069447,88.92944254,5.740338002,102.860084,pomegranate
17,18,43,24.4880844,90.83687246,5.843005428,103.1969341,pomegranate
34,21,42,18.75927679,89.93457597,6.648687274,111.0196744,pomegranate
21,23,42,19.54128063,90.29751796,6.902751061,104.3739878,pomegranate
25,17,40,18.91251245,87.74938524,6.608023872,111.2800516,pomegranate
8,25,36,19.91330523,94.95031368,6.828522375,104.0277061,pomegranate
26,18,42,19.72620525,89.64934166,6.910374919,108.2287276,pomegranate
4,19,42,23.83185873,87.84034604,6.306605528,111.2232716,pomegranate
36,24,41,24.94467632,94.25702672,7.009180374,103.8799347,pomegranate
5,24,40,24.692258,93.87030088,6.297907579,104.6735454,pomegranate
19,17,39,24.72485577,85.56083187,6.728599215,111.2787584,pomegranate
39,30,38,20.12644921,87.59629625,6.965156738,108.065579,pomegranate
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,banana
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,banana
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana
80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,banana
93,94,53,25.86632408,84.42379269,6.079178788,114.5357503,banana
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana
108,89,53,29.55054817,78.06762846,5.808497604,99.34482238,banana
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
105,77,52,29.16226551,76.16151562,5.816622479,100.0075679,banana
118,88,52,28.65003945,82.68752542,5.843163161,98.75084366,banana
101,87,54,29.07311132,76.50045221,6.376756633,100.1692639,banana
95,75,50,28.08166093,75.26429821,5.623615687,118.2761894,banana
106,85,53,27.1994597,78.8086068,5.91505509,99.72430835,banana
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,banana
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,banana
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,banana
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,banana
117,86,48,28.6956201,82.54195839,6.225225239,116.1616839,banana
114,94,53,26.33544853,76.8532006,6.190757459,118.6858263,banana
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,banana
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana
80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,banana
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,banana
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana
112,73,48,29.2440638,77.32017166,5.707488987,90.66727868,banana
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,banana
111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,banana
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,banana
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,mango
39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,mango
21,26,27,27.00315545,47.67525434,5.699586972,95.85118326,mango
25,22,25,33.56150184,45.53556603,5.977413803,95.70525913,mango
0,21,32,35.89855625,54.25964196,6.430139436,92.19721736,mango
20,19,35,34.17719782,50.62161586,6.113935087,98.00687989,mango
19,21,34,30.01592643,53.19212381,5.074272692,97.72843182,mango
18,17,31,31.74592134,45.16127859,5.667507706,93.75441586,mango
11,36,33,35.99009679,52.22780489,5.978634285,95.3713484,mango
30,28,30,31.86641378,52.19331595,5.064613314,98.46768642,mango
18,19,27,27.75518664,52.34605806,4.772385986,94.11213345,mango
23,23,27,34.72413192,51.4271781,5.161148592,97.31258083,mango
37,30,34,27.53907547,53.63549533,6.797779227,99.35408185,mango
11,27,30,27.69637763,48.5622488,6.39474303,89.85646496,mango
12,19,31,27.25373364,52.66319725,5.566704378,91.87312479,mango
3,28,33,30.33723921,48.88704844,5.755049971,94.42850522,mango
37,38,32,31.85744939,45.53106268,5.417340525,91.55845821,mango
26,37,30,35.39986338,49.45962621,6.166173834,97.41054011,mango
14,18,30,29.80747243,52.13797867,5.191265116,95.74606104,mango
40,16,35,34.16438906,54.16482251,4.954739564,98.33351125,mango
4,20,25,28.93270187,47.94053996,5.664587011,99.9834242,mango
36,25,33,27.98392787,53.33018851,5.548584852,99.61465679,mango
30,17,31,31.20478173,54.49960506,6.804437106,94.62954663,mango
28,37,28,32.13409675,50.52559148,6.097869767,98.63333684,mango
38,15,30,28.91862016,48.13974548,5.075504537,97.01331604,mango
12,37,30,31.09779147,47.41196659,4.546466109,90.28624348,mango
38,19,31,34.73823882,49.08864345,5.855119268,90.65022183,mango
8,33,29,29.98080499,49.48613279,6.442393461,91.82271568,mango
15,27,28,33.80398664,46.12866113,4.507523551,90.82549241,mango
24,130,195,29.99677232,81.54156612,6.112305667,67.12534492,grapes
13,144,204,30.7280404,82.42614055,6.092241627,68.38135469,grapes
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,grapes
36,125,196,37.46566825,80.65968681,6.15526103,66.83872293,grapes
24,131,196,22.03296178,83.74372787,5.732453638,65.34440794,grapes
2,123,198,39.64851881,82.21079946,6.253034534,70.39906054,grapes
35,140,197,16.77557314,82.75241875,6.106190557,66.76285469,grapes
11,122,195,12.14190714,83.56812483,5.647202395,69.63122027,grapes
6,123,203,12.7567962,81.62497448,6.130310493,66.77844567,grapes
17,134,204,39.04071989,80.18393287,6.499604931,73.88467027,grapes
25,130,197,39.70772192,82.68593454,5.554831977,74.91506217,grapes
27,145,205,9.467960445,82.29335466,5.800242694,66.02765219,grapes
9,122,201,29.58748357,80.91934392,5.570290539,68.06417307,grapes
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,grapes
32,141,204,8.825674745,82.89753705,5.536645599,67.235765,grapes
22,138,195,27.83487131,83.51444973,6.208196881,73.02882766,grapes
31,144,202,11.02105378,80.55557235,5.870600622,68.23963161,grapes
3,136,205,17.5862944,80.84806564,6.334771461,71.4065452,grapes
28,122,197,19.89363946,82.73366439,5.856575335,69.66256816,grapes
4,136,204,29.93707596,81.77713468,5.898944282,65.52279323,grapes
39,145,201,36.73126647,80.58931938,5.775600435,72.24230804,grapes
38,132,197,20.42094753,81.54185044,5.931101816,66.93065667,grapes
36,133,198,25.51939719,83.98351748,6.2286454,69.17281221,grapes
25,121,201,30.50734778,82.71775569,5.594240603,70.08200379,grapes
15,125,199,18.4269936,80.55625868,5.569230319,69.75734306,grapes
24,140,205,12.087022,83.59398734,5.93202852,68.66813363,grapes
13,132,203,23.60115364,82.48336987,6.423216506,73.23901752,grapes
5,126,197,12.80000387,81.20876367,6.417500829,67.10439401,grapes
30,120,200,38.06099482,82.24729637,6.234904253,65.70148216,grapes
23,142,197,39.06555518,82.03812973,6.000573725,69.30772897,grapes
26,135,203,33.78372897,81.16314317,5.685102769,74.53557341,grapes
119,25,51,26.47330219,80.92254421,6.283818329,53.65742581,watermelon
119,19,55,25.18780042,83.44621709,6.818261383,46.87420883,watermelon
105,30,50,25.29954705,81.77527562,6.37620108,57.04147057,watermelon
114,8,50,24.74631269,88.30866319,6.581587932,57.95826144,watermelon
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,watermelon
80,26,55,24.53442564,88.989272,6.140099215,49.11618732,watermelon
85,27,45,26.0713757,88.7285657,6.467095849,57.79652846,watermelon
85,22,53,25.96534238,89.77076659,6.849471704,59.46338556,watermelon
82,22,45,26.22338015,85.34866045,6.512196212,54.60159289,watermelon
118,13,54,24.41311871,89.81574032,6.039584629,44.07843475,watermelon
83,25,53,26.49195283,80.04678201,6.057697106,57.72799157,watermelon
86,15,47,24.04355803,84.18406764,6.423898762,53.78929956,watermelon
101,10,47,25.5421695,83.31883376,6.936997681,57.57343233,watermelon
119,9,50,26.74550678,83.9195902,6.251286661,40.794305,watermelon
104,17,46,25.7131428,80.22972777,6.190015912,43.08961827,watermelon
95,12,51,25.76484262,84.1726996,6.681606702,44.22066914,watermelon
102,14,52,26.79489868,89.64815231,6.51075991,57.74091817,watermelon
109,21,55,24.9004602,89.73524177,6.770278088,57.44942094,watermelon
81,18,50,26.80750629,88.22874955,6.429788073,58.79889057,watermelon
103,17,51,25.11189154,80.02621335,6.209888345,44.20656987,watermelon
105,14,50,26.2148837,87.6883982,6.419052193,59.65590798,watermelon
97,8,52,24.9103226,86.97190046,6.237861736,49.48575692,watermelon
120,19,49,25.79448878,84.26830701,6.762471629,56.45229202,watermelon
95,16,55,25.26931156,87.55055105,6.612847999,40.12650421,watermelon
83,29,52,25.76402693,87.5931128,6.704688865,46.05122728,watermelon
83,9,45,25.85483596,89.13163965,6.049609892,46.85176955,watermelon
91,21,50,24.33528185,81.44030363,6.762030215,48.32113628,watermelon
116,5,54,25.37601283,80.99313508,6.65398725,57.23028471,watermelon
112,28,54,24.86094646,85.05318563,6.738030547,55.29563514,watermelon
88,29,51,24.71885473,88.94568335,6.095689937,48.45978627,watermelon
118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,watermelon
92,21,48,25.81692236,82.043255,6.377427122,54.82963379,watermelon
106,14,45,24.47018505,84.16390229,6.417011754,57.26773002,watermelon
99,5,47,24.13078816,84.84494575,6.649086972,51.19470197,watermelon
24,128,196,22.75088787,90.69489172,5.521466996,110.4317855,apple
7,144,197,23.8494014,94.34814995,6.133220586,114.0512495,apple
14,128,205,22.60800988,94.58900601,6.226289556,116.0396587,apple
8,120,201,21.18667419,91.13435689,6.321152192,122.233323,apple
20,129,201,23.41044706,91.69913296,5.587905967,116.0777931,apple
32,137,204,22.86006627,93.12859895,5.824151693,117.7296726,apple
27,139,205,22.48403042,93.40819246,5.772179946,105.5473627,apple
0,123,205,22.02775403,92.96129462,5.790993052,121.1349176,apple
22,144,196,21.91191314,91.68748063,6.499226821,117.0761277,apple
1,124,199,23.71059131,93.27392415,5.658473817,112.6676589,apple
30,122,197,21.37784654,92.72043743,5.573241391,106.1417017,apple
29,121,196,22.84852833,94.32130209,6.079497202,123.5977843,apple
13,126,204,23.1094265,92.79630809,6.383180271,108.183792,apple
9,139,199,23.25230817,94.54128292,5.867420996,105.3558408,apple
0,133,200,23.67287749,90.4935574,5.708418722,104.2298028,apple
30,143,199,23.76881552,90.59810302,5.7983508,102.2648546,apple
36,140,198,23.34386401,91.47684705,6.28188384,104.4267991,apple
37,137,199,22.63946441,90.18451645,5.697945522,108.3405879,apple
33,121,203,22.45696744,94.76285385,5.605934087,114.8407725,apple
7,144,195,22.96388477,93.58065995,5.85648105,104.6472986,apple
35,128,205,21.07273439,93.56585985,6.041053829,107.8737015,apple
29,128,198,22.44075021,92.70785115,5.685062404,121.4977331,apple
2,143,196,22.71271308,90.45261746,5.669489065,109.8852597,apple
34,140,198,21.70416965,93.44006288,5.751707342,115.1781396,apple
29,144,204,22.43324518,92.48667725,5.800448951,119.1025189,apple
32,141,203,21.25941052,92.84416234,5.821347769,109.0658471,apple
13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,apple
25,143,198,22.81212536,91.51861705,6.027314401,107.855225,apple
9,137,200,21.12152071,90.6878768,5.636687393,102.8017203,apple
6,144,198,21.11478672,90.31528693,5.559363609,104.5086618,apple
37,126,196,23.59997268,90.97597665,5.596449493,107.1728191,apple
2,120,203,23.12652652,94.71203306,5.893492999,108.6211833,apple
11,143,197,22.98458907,93.3204487,5.875718516,122.1952483,apple
10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,apple
24,142,202,22.53779727,91.48135786,5.710819862,101.8474768,apple
23,138,195,22.49095104,91.70292746,5.795985716,124.3915101,apple
18,125,204,22.35548159,94.47811755,6.046673619,116.7366261,apple
13,121,196,22.20700989,93.50574163,6.443382913,120.1593771,apple
26,122,202,22.44516988,94.73763514,5.617227184,107.1843273,apple
28,123,202,22.76643029,92.12438519,6.442289294,120.4359949,apple
26,121,201,22.19109412,90.02575116,6.162034371,112.3126628,apple
21,137,196,23.6119202,91.70293849,5.812781806,123.5900822,apple
21,135,198,23.86087054,94.92048112,5.765015126,105.0241329,apple
22,30,12,15.78144173,92.51077745,6.354006744,119.035002,orange
37,6,13,26.03097313,91.50819306,7.511755068,101.2847738,orange
27,13,6,13.36050601,91.35608208,7.335158382,111.2266885,orange
7,16,9,18.87957654,92.04304496,7.813916603,114.6659511,orange
20,7,9,29.47741671,91.57802915,7.129136941,111.1727497,orange
26,27,10,28.06903173,92.91487288,6.079998496,114.1339416,orange
5,23,15,25.66901098,92.04670813,7.408939392,112.5424199,orange
0,18,14,29.77149434,92.00719952,7.207991261,114.4161786,orange
39,24,14,30.55472573,90.90343769,7.189259647,106.0711985,orange
13,23,6,23.96147583,90.26408017,7.365338111,102.6958703,orange
21,17,15,23.98289638,91.5473145,7.455991072,118.4901697,orange
33,12,8,25.26052689,90.31153735,6.822282114,117.3695296,orange
6,9,12,31.08368929,90.14362642,7.028746406,109.6894658,orange
19,7,10,14.78003032,91.22062116,6.118430299,100.1961762,orange
24,18,6,26.56608303,94.45239715,6.285312759,116.3796525,orange
9,11,8,24.85903405,94.39000473,6.559236744,111.7803734,orange
31,8,7,34.51465139,93.63812684,7.163245982,103.5684926,orange
22,17,5,24.12188673,90.72351622,6.945562889,102.835632,orange
13,5,8,23.85340379,90.10522549,7.474710503,103.923226,orange
16,8,9,24.60297538,91.28408653,7.601189843,111.2948115,orange
4,13,6,15.63211033,94.25966183,7.561143224,101.4705704,orange
0,25,14,19.33516809,91.97978938,6.361671475,116.450422,orange
8,7,10,28.2620488,91.98317355,6.929216014,105.2132259,orange
4,23,5,22.67594476,93.36348717,7.477935216,110.3332655,orange
33,14,8,21.03200078,92.9641969,7.684420446,110.6823944,orange
30,7,15,33.23453301,91.06053924,7.825531916,115.7659902,orange
21,29,12,22.30318989,92.15987039,6.438668989,117.3688104,orange
